"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
58,"Woodruff High School","1/26/2005",2005,NA,"Wednesday","Peoria","Illinois","public",1012,0,0,0,"targeted",15,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,336,602,60,14,0,NA,NA,0,"handgun",NA,40.70725,-89.57513,"9","12","Peoria County","High",59
59,"Bowen High School","2/8/2005",2005,14:32:00,"Tuesday","Chicago","Illinois","public",215,0,1,1,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,167,46,0,0,NA,NA,0,NA,NA,41.73354,-87.557742,"11","12","Cook County","High",60
60,"Maplewood Comprehensive High School","3/9/2005",2005,14:00:00,"Wednesday","Nashville","Tennessee","public",1119,0,1,1,"targeted",16,"m",NA,"former student (expelled)",0,NA,NA,NA,NA,NA,NA,NA,219,868,21,11,0,NA,NA,0,"handgun",NA,36.22912,-86.74568,"9","12","Davidson County","High",61
61,"Red Lake High School","3/21/2005",2005,14:49:00,"Monday","Red Lake","Minnesota","public",331,7,7,14,"indiscriminate",16,"m","ai","former student",1,"suicide",NA,NA,NA,NA,NA,NA,0,0,0,0,331,NA,NA,1,".40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun","grandfather",47.8509,-95.0629,"9","12","Beltrami County","High",62
62,"Canton High School","4/7/2005",2005,09:20:00,"Thursday","Canton","Texas","public",533,0,1,1,"targeted",45,"m","w","father of football player",0,NA,NA,NA,NA,NA,NA,NA,484,16,29,1,3,NA,NA,0,".45-caliber pistol","legally purchased by shooter",32.54958,-95.86617,"9","12","Van Zandt County","High",63
63,"Highland Elementary School","5/17/2005",2005,15:00:00,"Tuesday","Lower Allen Township","Pennsylvania","public",445,1,0,1,"targeted",47,"m",NA,"dating mother of student",1,"suicide",NA,NA,NA,NA,NA,NA,403,23,10,9,0,NA,NA,0,"9 mm semiautomatic handgun",NA,40.21999,-76.95256,"KG","5","Cumberland County","Elementary",64
64,"Maury Middle School","8/25/2005",2005,09:30:00,"Thursday","Jacksboro","Tennessee","public",609,0,1,1,"accidental",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,594,9,4,2,0,NA,NA,0,".38-caliber Smith & Wesson, .22-caliber handgun","guardian (uncle)",36.0213,-83.4041,"6","8","Jefferson County","Middle",65
65,"Sojourner Truth High School","9/2/2005",2005,12:50:00,"Friday","Jacksonville","Florida","public",123,0,1,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,110,4,0,0,NA,NA,0,"handgun",NA,30.27037,-81.61618,"9","12","Duval County","High",66
66,"Harlan Community Academy High School","9/13/2005",2005,14:20:00,"Tuesday","Chicago","Illinois","public",1381,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,0,1381,0,0,0,NA,NA,1,".25-caliber handgun",NA,41.7184,-87.62085,"7","12","Cook County","High",67
67,"Farmington High School","10/11/2005",2005,08:00:00,"Tuesday","Farmington","Missouri","public",1160,0,0,0,"indiscriminate",17,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1126,18,7,8,1,NA,NA,0,"single-shot shotgun","father",37.78108,-90.43619,"9","12","St. Francois County","High",68
68,"Saginaw High School","10/20/2005",2005,12:00:00,"Thursday","Saginaw","Michigan","public",1178,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,16,1128,34,0,0,NA,NA,1,".380-caliber handgun","stolen",43.40713,-83.92541,"9","12","Saginaw County","High",69
69,"Campbell County High School","11/8/2005",2005,14:00:00,"Tuesday","Jacksboro","Tennessee","public",1440,1,2,3,"targeted and indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1429,0,6,5,0,NA,NA,0,".22-caliber pistol",NA,36.35086,-84.14832,"9","12","Campbell County","High",70
70,"Central High School","12/6/2005",2005,13:30:00,"Tuesday","Detroit","Michigan","public",1205,0,1,1,"indiscriminate",18,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,1194,0,1,5,NA,NA,0,NA,NA,42.38469,-83.11269,"8","12","Wayne County","High",71
71,"Mary McLeod Bethune Academy","1/11/2006",2006,12:30:00,"Wednesday","Milwaukee","Wisconsin","public",366,0,1,1,"indiscriminate",18,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,311,4,35,2,NA,NA,0,NA,NA,43.05063,-87.95774,"PK","7","Milwaukee County","Elementary",72
72,"Milwee Middle School","1/13/2006",2006,09:30:00,"Friday","Longwood","Florida","public",1121,1,0,1,"targeted",NA,"m","w","SWAT officer",0,NA,NA,NA,NA,NA,NA,NA,635,158,309,18,1,NA,NA,1,"high-powered rifle","police issued",28.68172,-81.34669,"6","8","Seminole County","Middle",73
73,"Indian River High School","1/18/2006",2006,11:00:00,"Wednesday","Chesapeake","Virginia","public",1836,0,0,0,"targeted",19,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,733,957,53,69,6,NA,NA,0,NA,NA,36.79721,-76.24185,"9","12","Chesapeake City","High",74
74,"Will C. Wood High School","1/23/2006",2006,09:45:00,"Monday","Vacaville","California","public",2138,0,1,1,"accidental",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1271,233,394,161,27,NA,NA,0,"small revolver",NA,38.34635,-121.97421,"9","12","Solano County","High",75
75,"Lakeview Centennial High School","1/27/2006",2006,NA,"Friday","Garland","Texas","public",2175,0,2,2,"accidental",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,630,755,674,108,8,NA,NA,0,"small-caliber semiautomatic handgun",NA,32.85566,-96.57589,"9","12","Dallas County","High",76
76,"Westinghouse High School","2/21/2006",2006,07:45:00,"Tuesday","Pittsburgh","Pennsylvania","public",562,0,1,1,"targeted",23,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,561,0,0,0,NA,NA,1,"AK-47",NA,40.4607,-79.90059,"9","12","Allegheny County","High",77
77,"Roseburg High School","2/23/2006",2006,07:45:00,"Thursday","Roseburg","Oregon","public",2052,0,1,1,"targeted",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1844,12,111,45,40,NA,NA,1,"large-caliber handgun with hollow-point bullets",NA,43.208,-123.34712,"8","12","Douglas County","High",78
78,"Pine Middle School","3/14/2006",2006,09:00:00,"Tuesday","Reno","Nevada","public",868,0,2,2,"indiscriminate",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,502,19,293,40,14,NA,NA,0,".38-caliber pistol","father",39.47981,-119.78186,"7","8","Washoe County","Middle",79
79,"Venice High School","6/5/2006",2006,15:10:00,"Monday","Los Angeles","California","public",3210,1,0,1,"targeted",21,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,413,336,2173,269,19,NA,NA,0,"handgun",NA,33.99881,-118.44282,"9","12","Los Angeles County","High",80
80,"Orange High School","8/30/2006",2006,13:00:00,"Wednesday","Hillsborough","North Carolina","public",1150,0,2,2,"indiscriminate",19,"m","h","former student",0,NA,NA,NA,NA,NA,NA,NA,776,290,55,6,3,NA,NA,0,"9 mm rifle, a Mossburg 12-gauge sawed-off shotgun",NA,36.09233,-79.09337,"9","12","Orange County","High",81
81,"South Hills High School","9/8/2006",2006,13:20:00,"Friday","Fort Worth","Texas","public",1417,0,1,1,"targeted",NA,"m",NA,"resource officer",0,NA,NA,NA,NA,NA,NA,NA,103,242,1053,19,0,NA,NA,1,"handgun","police issued weapon",32.65726,-97.36,"9","12","Tarrant County","High",82
82,"Platte Canyon High School","9/27/2006",2006,11:40:00,"Wednesday","Bailey","Colorado","public",476,1,0,1,"targeted",53,"m","w",NA,1,"suicide",NA,NA,NA,NA,NA,NA,424,4,28,7,13,NA,NA,0,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",NA,39.45566,-105.64543,"9","12","Park County","High",83
83,"Weston High School","9/29/2006",2006,08:10:00,"Friday","Cazenovia","Wisconsin","public",119,1,0,1,"targeted",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,117,2,0,0,0,NA,NA,0,"long-barrel shotgun, 22-pistol","father",43.48211,-90.19016,"9","12","Sauk County","High",84
84,"West Nickel Mines Amish School","10/2/2006",2006,11:07:00,"Monday","Nickel Mines","Pennsylvania","private",26,5,5,10,"targeted",32,"m","w","none; worked in community",1,"suicide",NA,NA,NA,NA,NA,NA,26,0,0,0,0,NA,NA,0,"9mm handgun, a shotgun, a 30.06 rifle","purchased legally by shooter",39.960081,-76.084367,NA,NA,"Lancaster County","Middle",85
85,"Memorial Middle School","10/9/2006",2006,07:45:00,"Monday","Joplin","Missouri","public",699,0,0,0,"indiscriminate",13,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,591,43,49,7,9,NA,NA,0,"MAC 90 7.26 mm assault rifle","parent",37.08277,-94.51586,"6","8","Jasper County","Middle",86
86,"Henry Foss High School","1/3/2007",2007,07:30:00,"Wednesday","Tacoma","Washington","public",1749,1,0,1,"targeted",18,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,692,535,139,354,29,NA,NA,0,"handgun",NA,47.24114,-122.49364,"9","12","Peirce County","High",87
87,"Robert A. Taft Information Technology High School","1/8/2007",2007,10:45:00,"Monday","Cincinnati","Ohio","public",745,0,0,0,"targeted",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,20,715,0,0,0,NA,NA,0,NA,NA,39.10911,-84.52183,"9","12","Hamilton County","High",88
88,"William L.Sayre High School","1/18/2007",2007,08:25:00,"Thursday","Philadelphia","Pennsylvania","public",655,0,1,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,647,5,1,1,NA,NA,1,"9 mm semi-automatic Ruger",NA,39.95793,-75.2374,"7","12","Philadelphia County","High",89
89,"Herbert Henry Dow High School","3/7/2007",2007,10:57:00,"Wednesday","Midland","Michigan","public",1593,0,1,1,"targeted",17,"m","w","girlfriend was student",1,"suicide",NA,NA,NA,NA,NA,NA,1475,32,26,56,4,NA,NA,0,".44 caliber handgun",NA,43.64091,-84.27414,"8","12","Midland County","High",90
90,"Chicago Vocational Career Academy","4/9/2007",2007,14:30:00,"Monday","Chicago","Illinois","public",2020,0,1,1,"accidental",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,2,1993,7,0,1,NA,NA,0,"9mm handgun",NA,41.7372,-87.57236,"9","12","Cook County","High",91
91,"Springwater Trail High School","4/10/2007",2007,14:15:00,"Tuesday","Gresham","Oregon","public",163,0,10,10,"indiscriminate",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,133,3,17,3,4,NA,NA,0,".270 Winchester rifle with scope","stepfather",45.48655,-122.40894,"9","12","Multnomah County","High",92
92,"Liberty Memorial Middle School","5/15/2007",2007,10:00:00,"Tuesday","Los Fresnos","Texas","public",505,0,0,0,"indiscriminate",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,18,0,487,0,0,NA,NA,0,".38 semiautomatic handgun","father",26.1106,-97.5108,"6","8","Cameron County","Middle",93
93,"George S. Middleton High School","6/6/2007",2007,12:00:00,"Wednesday","Tampa","Florida","public",1799,0,0,0,"targeted",17,"m",NA,"former student",0,NA,NA,NA,NA,NA,NA,NA,268,1256,202,29,4,NA,NA,1,".22-caliber handgun",NA,27.99133,-82.43267,"9","12","Hillsborough County","High",94
94,"SuccessTech Academy","10/10/2007",2007,13:15:00,"Wednesday","Cleveland","Ohio","public",260,0,4,4,"indiscriminate",14,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,22,227,9,0,1,NA,NA,1,".22-caliber revolver, .38-caliber revolver",NA,41.50762,-81.6869,"9","12","Cuyahoga County","High",95
95,"Groves High School","10/15/2007",2007,14:45:00,"Monday","Garden City","Georgia","public",1534,0,0,0,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,381,997,89,37,3,NA,NA,0,NA,NA,32.10841,-81.15661,"9","12","Chatham County","High",96
96,"Crossroads Charter High School","1/16/2008",2008,10:15:00,"Wednesday","Charlotte","North Carolina","public",244,0,1,1,"accidental",16,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,5,230,8,0,1,NA,NA,0,NA,NA,35.26039,-80.77591,"9","12","Mecklenburg County","High",97
97,"Hamilton High School","2/4/2008",2008,10:00:00,"Monday","Memphis","Tennessee","public",1581,0,1,1,"targeted",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,4,1577,0,0,0,NA,NA,0,"380-caliber handgun",NA,35.10069,-90.0174,"9","12","Shelby County","High",98
98,"Notre Dame Elementary School","2/7/2008",2008,09:12:00,"Thursday","Portsmouth","Ohio","private",166,0,1,1,"targeted",56,"m","w","spouse of teacher",1,"suicide",NA,NA,NA,NA,NA,NA,158,3,1,0,4,NA,NA,0,NA,NA,38.735563,-82.986607,"PK","6","Scioto County","Elementary",99
99,"Mitchell High School","2/11/2008",2008,09:00:00,"Monday","Memphis","Tennessee","public",1110,0,1,1,"targeted",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,0,1109,0,1,0,NA,NA,1,".22-caliber pistol","purchased from someone in apartment complex",35.05595,-90.08589,"9","12","Shelby County","High",100
100,"E.O. Green Junior High School","2/12/2008",2008,08:15:00,"Tuesday","Oxnard","California","public",1065,1,0,1,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,125,49,829,58,4,NA,NA,0,".22-caliber handgun","relative",34.16568,-119.1814,"6","8","Ventura County","High",101
101,"Friends of Children Head Start center","3/18/2008",2008,13:00:00,"Tuesday","Carthage","Mississippi","private",100,1,1,2,"targeted",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,".45-caliber handgun",NA,32.7253484368272,-89.5547031253524,"PK","PK","Leake County","Elementary",102
102,"Roosevelt High School","4/16/2008",2008,11:54:00,"Wednesday","Fresno","California","public",2735,1,0,1,"targeted",38,"m",NA,"resource officer",0,NA,NA,NA,NA,NA,NA,NA,130,112,2039,444,10,NA,NA,1,"pistol","department issued",36.74302,-119.7537,"9","12","Fresno County","High",103
103,"Central High School","8/21/2008",2008,08:10:00,"Thursday","Knoxville","Tennessee","public",1210,1,0,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,872,254,55,25,4,NA,NA,1,"small-caliber, semiautomatic pistol",NA,36.0392,-83.9216,"9","12","Knox County","High",104
104,"Dillard High School","11/12/2008",2008,11:00:00,"Wednesday","Fort Lauderdale","Florida","public",1758,1,0,1,"targeted",15,"f","b","student",0,NA,NA,NA,NA,NA,NA,NA,80,1576,76,6,1,NA,NA,1,".22-caliber semi-automatic handgun","family member",26.1383,-80.176,"9","12","Broward County","High",105
105,"Central High School","2/17/2009",2009,14:00:00,"Tuesday","Detroit","Michigan","public",919,0,2,2,"targeted",17,"m",NA,"non-student",0,NA,NA,NA,NA,NA,NA,NA,4,913,0,0,2,NA,NA,1,"handgun",NA,42.3837,-83.1115,"9","12","Wayne County","High",106
106,"John Muir Elementary School","2/20/2009",2009,12:00:00,"Friday","Hayward","California","public",354,0,0,0,"targeted",NA,"h","m",NA,0,NA,NA,NA,NA,NA,NA,NA,13,54,252,34,1,NA,NA,0,"shotgun",NA,37.6566,-122.083,"KG","6","Alameda County","Elementary",107
107,"Ribault High School","3/10/2009",2009,07:22:00,"Tuesday","Jacksonville","Florida","public",1131,0,0,0,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,53,1051,15,2,0,NA,NA,0,NA,NA,30.3895,-81.707,"9","12","Duval County","High",108
108,"Larose-Cut Off Middle School","5/18/2009",2009,09:00:00,"Monday","Larose","Louisiana","public",512,0,0,0,"targeted",15,"m",NA,"student",1,"suicide",NA,NA,NA,NA,NA,NA,405,28,23,15,41,NA,NA,0,"25-caliber nickel plate semi-automatic","father",29.5004,-90.3295,"6","8","Lafourche Parish","Middle",109
109,"Stamford Academy","9/8/2009",2009,08:05:00,"Tuesday","Stamford","Connecticut","public",131,0,0,0,"targeted",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,7,89,33,2,0,NA,NA,0,".22-caliber pistol",NA,41.059329,-73.536464,"9","12","Fairfield County","High",110
110,"Virginia Randolph Community High School","9/16/2009",2009,12:30:00,"Wednesday","Glen Allen","Virginia","public",292,0,0,0,"targeted",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,66,186,13,3,0,NA,NA,0,".40-caliber handgun",NA,37.661586,-77.483135,"8","12","Henrico County","High",111
111,"Mattituck Junior-Senior High School","10/8/2009",2009,14:00:00,"Thursday","Mattituck","New York","public",812,0,1,1,"accidental",28,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,736,24,43,8,0,0,0,0,"22-caliber rifle","mother",40.996241,-72.529205,"7","12","Suffolk County","High",112
112,"Carolina Forest High School","10/16/2009",2009,08:25:00,"Friday","Conway","South Carolina","public",1958,1,0,1,"targeted",NA,"m","w","school resource officer",0,NA,NA,NA,NA,NA,NA,NA,1400,309,124,60,25,NA,NA,1,".40 caliber Glock","department issued",33.780761,-78.97152,"9","12","Horry County","High",113
113,"Booker T. Washington High School","12/11/2009",2009,08:10:00,"Friday","Shreveport","Louisiana","public",336,0,1,1,"targeted",28,"m","b","ex-boyfriend of student",0,NA,NA,NA,NA,NA,NA,NA,1,335,0,0,0,NA,NA,1,"handgun",NA,32.503605,-93.77398,"9","12","Caddo Parish","High",114
114,"Discovery Middle School","2/5/2010",2010,13:45:00,"Friday","Madison","Alabama","public",1000,1,0,1,"targeted",14,"m","a","student",0,NA,NA,NA,NA,NA,NA,NA,707,188,27,50,8,NA,NA,1,".22-caliber pistol","friend's home",34.740322,-86.741148,"7","9","Madison County","Middle",115
115,"Deer Creek Middle School","2/23/2010",2010,15:14:00,"Tuesday","Littleton","Colorado","public",516,0,2,2,"indiscriminate",32,"m","w",NA,0,NA,NA,NA,NA,NA,NA,NA,436,7,46,23,4,NA,NA,0,"hunting rifle",NA,39.5869,-105.102,"7","8","Jefferson County","Middle",116
116,"Woodrow Wilson High School","4/28/2010",2010,12:15:00,"Wednesday","Portsmouth","Virginia","public",1309,0,0,0,"indiscriminate",15,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,446,818,22,19,4,NA,NA,0,"handgun",NA,36.815009,-76.381349,"9","12","Portsmouth City","High",117
117,"South Gate High School","5/18/2010",2010,07:51:00,"Tuesday","South Gate","California","public",3289,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,12,11,3251,3,10,0,2,0,NA,NA,33.954604,-118.209757,"9","12","Los Angeles County","High",118
118,"Sullivan Central High School","8/30/2010",2010,09:10:00,"Monday","Blountville","Tennessee","public",1115,1,0,1,"targeted",NA,NA,NA,"police officer",0,NA,NA,NA,NA,NA,NA,NA,1097,7,6,3,1,0,1,1,"handgun","department issued",36.531336,-82.387049,"9","12","Sullivan County","High",119
119,"Socastee High School","9/21/2010",2010,14:00:00,"Tuesday","Conway","South Carolina","public",1453,0,1,1,"targeted",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1143,119,98,37,1,5,50,1,"revolver","parent",33.6788,-79.004328,"9","12","Horry County","High",120
120,"Alisal High School","10/1/2010",2010,07:53:00,"Friday","Salinas","California","public",2478,1,0,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,10,2420,28,1,5,0,0,NA,NA,36.686184,-121.595961,"3","12","Monterey County","High",121
121,"Kelly Elementary School","10/8/2010",2010,12:00:00,"Friday","Carlsbad","California","public",477,0,2,2,"indiscriminate",41,"m","w","none",0,NA,NA,NA,NA,NA,NA,NA,314,12,67,36,3,0,45,0,".357-caliber magnum revolver",NA,33.14836,-117.311227,"KG","5","San Diego County","Elementary",122
122,"Marinette High School","11/29/2010",2010,13:30:00,"Monday","Marinette","Wisconsin","public",690,0,0,0,"hostage suicide",15,"m","w","student",1,"suicide",NA,NA,NA,NA,NA,NA,658,4,17,2,8,1,0,0,"handgun",NA,45.084351,-87.629512,"9","12","Marinette County","High",123
123,"Millard South High School","1/5/2011",2011,12:45:00,"Wednesday","Omaha","Nebraska","public",2043,1,2,3,"targeted and indiscriminate",17,"m","b","student",1,"suicide",NA,NA,NA,NA,NA,NA,1668,79,186,32,12,6,60,0,"Glock .40-caliber S&W pistol","father",41.203481,-96.146049,"9","12","Douglas County","High",124
124,"Gardena High School","1/18/2011",2011,10:40:00,"Tuesday","Los Angeles","California","public",2299,0,2,2,"accidental",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,22,610,1490,140,9,NA,NA,0,"9-mm Beretta handgun",NA,33.866372,-118.29633,"8","12","Los Angeles County","High",125
125,"Louisiana Schnell Elementary School","2/2/2011",2011,10:37:00,"Wednesday","Placerville","California","public",424,1,0,1,"targeted",44,"m","w","janitor",0,NA,NA,NA,NA,NA,NA,NA,259,2,121,3,8,0,31,0,".357-caliber revolver","legally purchased by shooter",38.735106,-120.779419,"KG","5","El Dorado County","Elementary",126
126,"Martinsville West Middle","3/25/2011",2011,07:00:00,"Friday","Martinsville","Indiana","public",584,0,1,1,"targeted",15,"m","w","former student (expelled)",0,NA,NA,NA,NA,NA,NA,NA,555,0,13,2,2,0,12,0,"9mm handgun","friend's home",39.420621,-86.427053,"6","8","Morgan County","Middle",127
127,"Sheeler Charter High School","4/13/2011",2011,12:00:00,"Wednesday","Apopka","Florida","public",465,0,1,1,"accidental",17,"m","b",NA,0,NA,NA,NA,NA,NA,NA,NA,104,250,101,2,1,0,7,1,NA,NA,28.673157,-81.494124,"9","12","Orange County","High",128
128,"Ross Elementary School","4/19/2011",2011,10:20:00,"Tuesday","Houston","Texas","public",462,0,2,2,"accidental",6,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1,301,145,2,9,1,3,0,".380-caliber semi-automatic","mother's friend, home shooter was staying",29.800326,-95.341835,"PK","5","Harris County","Elementary",129
129,"Cape Fear High School","10/24/2011",2011,13:00:00,"Monday","Fayetteville","North Carolina","public",1575,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,913,437,83,9,71,3,59,0,".22-caliber Daisy rifle",NA,35.034044,-78.762384,"9","12","Cumberland County","High",130
130,"Cummings Middle School","1/4/2012",2012,08:00:00,"Wednesday","Brownsville","Texas","public",746,1,0,1,"targeted",NA,"m",NA,"police officer",0,NA,NA,NA,NA,NA,NA,NA,3,0,742,0,1,0,0,0,NA,"department issued",25.913899,-97.493734,"6","8","Cameron County","Middle",131
131,"North Forest High School","1/10/2012",2012,12:30:00,"Tuesday","Houston","Texas","public",1274,0,1,1,"targeted",18,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,8,868,395,0,2,1,0,1,"handgun",NA,29.868788,-95.26259,"9","12","Harris County","High",132
132,"Walpole Elementary School","2/10/2012",2012,11:00:00,"Friday","Walpole","New Hampshire","public",149,0,0,0,"public suicide (attempted)",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,139,0,5,1,1,0,3,0,"20-gauge shotgun",NA,43.078915,-72.426439,"5","8","Cheshire County","Elementary",133
133,"Armin Jahr Elementary School","2/22/2012",2012,13:30:00,"Wednesday","Bremerton","Washington","public",411,0,1,1,"accidental",9,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,193,24,69,19,5,22,79,0,".45 caliber handgun","mother",47.593761,-122.63622,"KG","5","Kitsap County","Elementary",134
134,"Chardon High School","2/27/2012",2012,07:30:00,"Monday","Chardon","Ohio","public",1058,3,3,6,"indiscriminate",17,"m","w","student at neighboring school, rode bus with some victims",0,NA,NA,NA,NA,NA,NA,NA,1028,5,9,4,4,0,8,0,"Ruger MK III .22 caliber semi-automatic handgun","uncle",41.591297,-81.199958,"9","12","Geauga County","High",135
135,"Episcopal School of Jacksonville","3/6/2012",2012,13:15:00,"Tuesday","Jacksonville","Florida","private",869,1,0,1,"targeted",28,"m","w","fired teacher",1,"suicide",NA,NA,NA,NA,NA,NA,753,44,25,5,3,0,39,0,"AK-47 assault-style rifle","legally purchased at gun show",30.308617,-81.617917,"6","12","Duval County","High",136
136,"LeFlore High School","3/15/2012",2012,10:50:00,"Thursday","Mobile","Alabama","public",921,0,0,0,"targeted",16,"m","b","suspended student from different campus",0,NA,15,"m",NA,NA,0,NA,5,912,2,0,1,0,1,0,"handgun",NA,30.714209,-88.086526,"8","12","Mobile County","High",137
137,"Mary Scroggs Elementary School","5/25/2012",2012,14:00:00,"Friday","Chapel Hill","North Carolina","public",614,1,0,1,"targeted",49,"m",NA,"parent of students",0,NA,NA,NA,NA,NA,NA,NA,325,32,106,66,1,0,84,0,"Charter Arms .44 Bulldog revolver",NA,35.879122,-79.068506,"KG","5","Orange County","Elementary",138
138,"Perry Hall High School","8/27/2012",2012,10:45:00,"Monday","Baltimore","Maryland","public",2209,0,1,1,"indiscriminate",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1361,508,79,213,2,1,45,1,"shotgun",NA,39.39186,-76.466091,"9","12","Baltimore County","High",139
139,"Normal Community High School","9/7/2012",2012,08:00:00,"Friday","Normal","Illinois","public",1895,0,0,0,"indiscriminate",14,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1314,196,145,124,8,5,103,0,".22-caliber Ruger pistol",NA,40.533285,-88.914486,"9","12","Mclean County","High",140
140,"Sandy Hook Elementary School","12/14/2012",2012,09:35:00,"Friday","Newtown","Connecticut","public",454,26,2,28,"indiscriminate",20,"m","w","former student",1,"suicide",NA,NA,NA,NA,NA,NA,389,15,22,23,0,0,5,0,"Bushmaster XM15-E2S rifle","mother",41.41978,-73.277751,"KG","4","Fairfield County","Elementary",141
141,"Apostolic Revival Center and Christian School","1/7/2013",2013,11:00:00,"Monday","Fort Myers","Florida","private",22,1,0,1,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,22,0,0,0,0,0,0,NA,NA,26.64062,-81.834212,"PK","7","Lee County","Middle",142
142,"Taft Union High School","1/10/2013",2013,09:00:00,"Thursday","Taft","California","public",939,0,2,2,"targeted",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,487,9,384,6,22,12,19,0,"12-gauge shotgun","older brother",35.146256,-119.460383,"9","12","Kern County","High",143
143,"Price Middle School","1/31/2013",2013,13:50:00,"Thursday","Atlanta","Georgia","public",403,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,0,380,20,0,0,0,3,1,"small-caliber handgun",NA,33.708772,-84.387442,"6","8","Fulton County","Middle",144
144,"La Salle High School","4/29/2013",2013,08:00:00,"Monday","Cincinnati","Ohio","private",708,0,0,0,"public suicide",17,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,613,71,4,3,0,0,17,0,".45-caliber semi-automatic handgun","family member",39.189162,-84.586704,"9","12","Hamilton County","High",145
145,"Redland Middle School","5/23/2013",2013,NA,"Thursday","Homestead","Florida","public",493,0,1,1,"accidental",11,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,44,185,257,3,0,0,4,0,".38 caliber handgun",NA,25.5369,-80.453001,"6","8","Miami-Dade County","Middle",146
